sqft_lot,sqft_basement,how_old,sqft_living15,sqft_lot15,price,large_home_True,renovated_True,bedrooms,bathrooms,floors,waterfront,condition,grade,zipcode
6000,0.0,111,1730,4700,640000.0,0.0,0.0,4,2.0,2,0,4,8,98107
8075,330.0,46,1290,7800,240000.0,0.0,0.0,4,1.0,1,0,2,7,98001
7553,0.0,19,2620,11884,605000.0,0.0,0.0,4,2.5,2,0,3,8,98056
5520,0.0,15,2470,5669,625000.0,0.0,0.0,4,2.5,2,0,3,9,98074
24186,1620.0,31,2410,30617,775000.0,0.0,0.0,4,2.25,1,0,3,8,98166
5639,0.0,1,3625,5639,861990.0,0.0,0.0,5,2.75,2,0,3,9,98053
2280,0.0,93,1580,2640,685000.0,0.0,0.0,3,1.0,2,0,3,7,98119
9656,360.0,56,1340,8808,309000.0,0.0,0.0,3,1.0,1,0,4,6,98058
13603,0.0,12,3050,9232,488000.0,0.0,0.0,3,2.5,2,0,3,8,98019
8528,0.0,49,1228,8840,210490.0,0.0,0.0,3,1.0,1,0,3,6,98023
13416,0.0,34,2680,13685,785000.0,0.0,0.0,4,2.5,2,0,4,9,98007
5963,0.0,62,970,5100,450000.0,0.0,0.0,3,1.75,1,0,4,7,98115
65005,588.0,62,2680,72513,1350000.0,0.0,0.0,3,2.5,1,1,5,9,98070
9199,0.0,60,1190,9364,228000.0,0.0,0.0,3,1.0,1,0,3,7,98148
9134,1510.0,49,1990,9133,345000.0,0.0,0.0,5,2.5,1,0,4,8,98056
4080,410.0,65,1410,4080,600000.0,0.0,0.0,3,1.75,1,0,4,7,98117
8550,990.0,34,1480,6738,585000.0,0.0,0.0,2,1.75,1,0,3,7,98117
6000,600.0,88,2730,6000,920000.0,0.0,0.0,5,2.25,1,0,3,8,98105
5000,0.0,20,1950,5000,885000.0,0.0,0.0,4,2.5,2,0,3,9,98105
4495,0.0,7,2250,4500,292500.0,0.0,0.0,4,2.5,2,0,3,7,98042
4750,0.0,12,2690,4750,301000.0,0.0,0.0,3,2.5,2,0,3,8,98042
14342,0.0,47,2960,11044,951000.0,0.0,0.0,5,3.25,2,0,4,8,98008
9976,0.0,24,2270,8542,430000.0,0.0,0.0,4,3.0,2,0,3,8,98059
21235,560.0,56,2570,18900,650000.0,0.0,0.0,3,2.25,1,0,4,8,98166
8400,0.0,61,1290,8750,289000.0,0.0,0.0,3,1.75,1,0,3,7,98148
8690,0.0,42,2500,9500,505000.0,0.0,0.0,3,1.75,2,0,5,8,98166
1044,0.0,1,1580,3090,549000.0,0.0,0.0,3,1.75,3,0,3,8,98115
6000,550.0,36,1440,4080,425000.0,0.0,0.0,3,2.25,1,0,3,7,98122
3809,1000.0,90,1440,4000,317625.0,0.0,0.0,3,2.75,1,0,5,7,98144
11049,0.0,26,2750,11049,975000.0,0.0,0.0,4,2.5,2,0,3,10,98004
4648,0.0,10,2221,4557,287000.0,0.0,0.0,4,2.5,2,0,3,7,98001
12070,0.0,47,1010,12635,204000.0,0.0,0.0,3,1.0,1,0,4,7,98042
20158,1600.0,50,3390,20158,1330000.0,0.0,0.0,5,2.25,1,0,3,8,98004
50094,1700.0,42,3530,38917,1040000.0,0.0,0.0,5,3.25,1,0,4,11,98005
5612,0.0,43,1640,4745,325000.0,0.0,0.0,3,2.0,1,0,4,7,98034
7807,500.0,99,1510,7807,571000.0,0.0,0.0,4,2.0,1,0,5,7,98125
5000,0.0,10,2420,5000,360000.0,0.0,0.0,4,2.5,2,0,3,8,98038
50529,700.0,50,1940,50529,349000.0,0.0,0.0,3,1.75,1,0,5,7,98042
35102,1040.0,29,3240,35020,832500.0,0.0,0.0,4,4.0,2,0,4,10,98075
7300,880.0,59,1680,7500,380000.0,0.0,0.0,4,1.75,1,0,3,7,98008
5060,0.0,74,890,5060,480000.0,0.0,0.0,3,1.0,1,0,3,7,98116
5060,500.0,59,1130,5693,410000.0,0.0,0.0,3,1.0,1,0,4,7,98133
39683,0.0,13,3350,39750,720000.0,0.0,0.0,4,2.5,2,0,3,10,98010
5100,0.0,12,2350,5363,390000.0,0.0,0.0,3,2.5,2,0,3,8,98038
5889,0.0,23,1870,6405,360000.0,0.0,0.0,4,2.5,2,0,3,7,98038
6720,1010.0,67,1720,6720,355000.0,0.0,0.0,2,1.0,1,0,3,7,98118
8712,0.0,51,1850,8797,356000.0,0.0,0.0,3,1.5,1,0,3,8,98059
6634,0.0,63,1570,7203,315000.0,0.0,0.0,3,1.0,1,0,3,6,98125
3600,240.0,90,2020,4800,940000.0,0.0,0.0,3,1.5,2,0,3,9,98119
8400,0.0,54,1590,8165,305000.0,0.0,0.0,5,2.25,1,0,5,7,98092
6278,790.0,9,1900,7349,461000.0,0.0,0.0,3,3.25,2,0,3,9,98056
2040,0.0,36,1950,2025,215000.0,0.0,0.0,2,2.25,2,0,4,7,98056
1066,265.0,9,1030,1106,335000.0,0.0,0.0,2,1.75,2,0,3,7,98136
7403,0.0,27,1980,7510,243500.0,0.0,0.0,4,2.5,2,0,3,7,98023
6353,0.0,14,2520,6250,1100000.0,0.0,0.0,5,2.75,2,0,4,10,98199
10500,0.0,53,1350,10500,153000.0,0.0,0.0,3,1.0,1,0,3,7,98023
5000,290.0,76,1570,4500,430000.0,0.0,0.0,3,1.5,1,0,3,8,98117
5000,290.0,76,1570,4500,700000.0,0.0,0.0,3,1.5,1,0,3,8,98117
10250,910.0,69,1950,6045,905000.0,0.0,1.0,4,2.5,1,0,3,7,98040
15681,0.0,48,1750,15616,247500.0,0.0,0.0,3,1.75,1,0,3,7,98032
6400,0.0,40,1160,6400,199000.0,0.0,0.0,4,1.5,1,0,4,7,98023
41800,600.0,35,1650,135036,314000.0,0.0,0.0,3,1.75,1,0,5,7,98038
36847,0.0,23,2550,35065,437500.0,0.0,0.0,3,2.5,2,0,3,9,98045
13241,800.0,105,2200,4500,850830.0,0.0,0.0,3,2.5,1,0,5,9,98102
3478,540.0,86,1610,3478,555000.0,0.0,0.0,3,2.0,1,0,4,7,98117
107593,0.0,32,2570,47777,699950.0,0.0,0.0,3,2.25,2,0,4,8,98077
8113,0.0,65,2370,8113,1090000.0,0.0,1.0,3,2.5,2,0,3,8,98004
33919,0.0,61,1640,14910,290000.0,0.0,0.0,3,1.0,1,0,3,7,98058
10005,880.0,37,2250,8162,375000.0,0.0,0.0,3,2.5,1,0,4,8,98058
4005,500.0,76,1240,4005,460000.0,0.0,0.0,3,1.0,1,0,4,7,98117
2493,0.0,30,1270,4966,188500.0,0.0,0.0,2,1.75,1,0,4,8,98198
28037,0.0,24,2990,35001,680000.0,0.0,0.0,4,2.5,2,0,4,10,98077
12342,0.0,73,2500,9433,470000.0,0.0,0.0,5,1.75,2,0,4,7,98052
9624,0.0,31,1940,9636,597750.0,0.0,0.0,4,2.5,2,0,3,8,98027
3328,560.0,110,1380,3536,570000.0,0.0,0.0,3,1.75,1,0,5,6,98103
12600,0.0,35,1540,11656,272500.0,0.0,0.0,3,1.75,1,0,4,7,98038
5969,1000.0,44,2090,5500,329950.0,0.0,0.0,3,1.75,1,0,3,7,98108
16171,710.0,14,2640,8517,480000.0,0.0,0.0,4,2.5,2,0,3,9,98001
6350,0.0,115,1830,6350,740500.0,0.0,0.0,3,3.5,2,0,3,8,98117
1102,0.0,5,1620,3166,518500.0,0.0,0.0,3,3.5,3,0,3,8,98103
6780,0.0,70,1190,6780,205425.0,0.0,0.0,2,1.0,1,0,4,6,98178
9600,0.0,65,1880,9000,171800.0,0.0,0.0,4,2.0,1,0,3,6,98168
2982,0.0,90,1610,4040,535000.0,0.0,0.0,4,1.0,1,0,4,7,98144
6474,840.0,51,2340,10856,660000.0,0.0,0.0,3,2.5,1,0,3,8,98177
9132,0.0,28,1580,9104,391500.0,0.0,0.0,3,2.0,1,0,3,7,98034
6000,0.0,62,1710,6000,395000.0,0.0,0.0,2,1.0,1,0,3,6,98117
4400,380.0,91,1850,4400,445000.0,0.0,0.0,4,1.75,1,0,5,7,98118
10204,0.0,25,2700,13992,770000.0,0.0,0.0,3,2.25,2,0,3,9,98052
17789,770.0,101,3060,11275,1450000.0,0.0,1.0,4,2.75,1,0,3,8,98004
8201,480.0,48,2660,8712,445000.0,0.0,0.0,3,2.25,1,0,3,8,98178
8811,800.0,37,2090,8400,260000.0,0.0,0.0,4,2.25,1,0,3,8,98023
4960,600.0,89,1700,4960,822500.0,0.0,0.0,5,3.5,2,0,5,7,98103
4310,0.0,11,1970,3748,430000.0,0.0,0.0,4,2.5,2,0,3,7,98065
7875,0.0,29,1420,7680,212000.0,0.0,0.0,3,1.75,1,0,4,7,98092
9603,570.0,29,2060,9793,660500.0,0.0,0.0,4,2.25,1,0,3,8,98027
111078,1490.0,26,2480,88500,784000.0,0.0,0.0,3,3.5,1,0,3,9,98052
2287,620.0,1,1690,1662,453246.0,0.0,0.0,3,2.5,2,0,3,8,98029
2278,0.0,10,1540,2285,675000.0,0.0,0.0,4,3.5,3,0,3,9,98107
17390,0.0,59,1550,19265,199000.0,0.0,0.0,3,1.75,1,0,4,7,98003
7840,1010.0,47,1750,8140,220000.0,0.0,0.0,4,1.75,1,0,3,7,98003
10002,1250.0,47,1550,10436,452000.0,0.0,0.0,4,2.25,1,0,4,8,98028
4440,0.0,34,1060,5715,382500.0,0.0,0.0,2,1.0,1,0,3,6,98125
1249,0.0,1,1350,1310,519950.0,0.0,0.0,3,2.25,3,0,3,8,98107
3200,0.0,90,1170,3600,665000.0,0.0,0.0,2,1.0,1,0,3,7,98119
9375,1270.0,47,2820,9375,527700.0,0.0,0.0,5,2.5,1,0,4,8,98006
8579,600.0,53,1610,8579,205000.0,0.0,0.0,3,1.0,1,0,4,7,98058
8097,120.0,92,1560,7940,420000.0,0.0,0.0,3,1.0,1,0,4,7,98133
8517,650.0,54,2230,8824,500000.0,0.0,0.0,4,2.25,1,0,4,8,98006
315374,0.0,21,2840,87991,921500.0,0.0,0.0,4,2.5,2,0,4,9,98077
4000,180.0,110,2200,4000,890000.0,0.0,0.0,4,1.0,2,0,3,8,98109
60984,0.0,8,1940,193842,430000.0,0.0,0.0,2,2.5,2,0,3,7,98027
12500,1130.0,55,1360,18000,258000.0,0.0,0.0,5,2.0,1,0,4,8,98032
3455,450.0,68,1450,4599,511000.0,0.0,0.0,3,1.0,1,0,3,7,98103
3090,0.0,25,1500,3090,532170.0,0.0,0.0,3,2.0,2,0,3,8,98103
5000,0.0,68,1420,5000,560000.0,0.0,0.0,3,1.0,1,0,3,7,98107
8200,0.0,61,1680,8633,282950.0,0.0,0.0,3,1.0,1,0,4,7,98003
19850,1640.0,9,3160,9750,2250000.0,0.0,0.0,4,3.25,2,0,3,12,98006
5100,0.0,73,1010,5100,350000.0,0.0,0.0,1,1.0,1,0,3,7,98115
7669,0.0,48,1190,7669,215000.0,0.0,0.0,3,1.0,1,0,4,7,98058
25245,1460.0,19,2640,13675,650000.0,0.0,0.0,5,3.5,2,0,3,9,98056
7500,1020.0,48,1980,7875,320000.0,0.0,0.0,4,2.75,1,0,3,8,98023
7198,0.0,99,1160,7198,247000.0,0.0,1.0,3,2.0,1,0,3,7,98022
11180,0.0,47,1730,11180,320000.0,0.0,0.0,4,1.75,1,0,4,8,98059
8632,1030.0,53,1010,11680,255000.0,0.0,0.0,5,2.25,1,0,3,7,98146
9660,0.0,53,1200,9660,438000.0,0.0,0.0,3,1.75,1,0,3,7,98034
16603,0.0,15,3400,12601,900000.0,0.0,0.0,3,2.5,2,0,3,10,98075
7280,750.0,36,1710,8152,441000.0,0.0,0.0,3,2.75,1,0,3,7,98034
38332,1010.0,40,2110,36590,420000.0,0.0,0.0,3,2.0,1,0,4,7,98027
7000,400.0,39,1640,7500,370000.0,0.0,0.0,3,1.75,1,0,3,7,98034
7250,640.0,66,1830,9750,269950.0,0.0,0.0,2,1.75,1,0,5,5,98198
4499,0.0,16,2920,4500,807100.0,0.0,0.0,4,2.5,2,0,3,9,98006
9750,1070.0,36,2480,8750,653000.0,0.0,0.0,3,2.5,1,0,4,8,98034
8336,0.0,51,1770,7288,371500.0,0.0,0.0,3,2.0,1,0,5,7,98133
21000,0.0,61,1070,7920,284000.0,0.0,0.0,3,1.75,1,0,3,7,98166
7140,490.0,37,1930,7350,272000.0,0.0,0.0,3,1.75,1,0,4,7,98023
7912,0.0,60,1480,7940,313000.0,0.0,0.0,3,1.5,1,0,3,7,98133
35003,1310.0,31,3740,35230,917500.0,0.0,0.0,4,2.5,2,0,3,10,98033
8190,0.0,35,2260,8335,673000.0,0.0,0.0,4,2.25,2,0,4,8,98006
1100,300.0,7,1590,1795,425000.0,0.0,0.0,3,2.5,2,0,3,8,98122
5400,650.0,29,1280,2150,399950.0,0.0,0.0,5,2.75,1,0,3,7,98144
4800,0.0,114,1200,4800,385000.0,0.0,0.0,3,1.0,1,0,3,6,98122
7560,630.0,40,1950,8941,269950.0,0.0,0.0,3,1.5,1,0,4,7,98022
8220,290.0,66,1540,8280,330000.0,0.0,0.0,2,1.0,1,0,3,7,98177
5797,0.0,27,1670,6183,260000.0,0.0,0.0,3,2.5,2,0,3,7,98030
5125,700.0,90,1410,5375,470000.0,0.0,0.0,4,3.0,1,0,4,7,98126
9600,0.0,54,2290,9600,589000.0,0.0,0.0,4,3.0,2,0,5,7,98034
3419,0.0,19,1050,3417,163500.0,0.0,0.0,2,1.5,2,0,3,7,98038
13412,990.0,22,2260,9984,835000.0,0.0,0.0,4,2.75,2,0,3,9,98052
12850,2000.0,29,2540,10270,1100000.0,0.0,0.0,5,3.0,1,0,4,10,98033
10000,390.0,46,2190,8910,269000.0,0.0,0.0,4,1.75,1,0,4,8,98023
8744,0.0,28,2030,8744,560000.0,0.0,0.0,3,2.5,2,0,3,8,98074
2400,0.0,114,1330,4400,615000.0,0.0,0.0,4,1.0,1,0,4,6,98103
10026,800.0,40,2230,9340,585188.0,0.0,0.0,3,2.25,1,0,3,8,98052
9480,430.0,38,1540,8400,305000.0,0.0,0.0,3,1.75,1,0,3,7,98034
8820,0.0,56,1230,7980,166950.0,0.0,0.0,3,1.0,1,0,3,6,98058
9897,0.0,56,2680,10083,799000.0,0.0,0.0,3,2.5,1,0,4,8,98040
7508,760.0,53,1900,7818,400000.0,0.0,0.0,3,2.5,1,0,4,7,98133
10228,0.0,67,1570,10228,230000.0,0.0,0.0,3,1.0,1,0,3,7,98155
5025,0.0,12,2550,5001,256883.0,0.0,0.0,3,2.5,2,0,3,8,98023
6480,840.0,95,1500,6480,423000.0,0.0,0.0,4,2.0,1,0,5,7,98108
4084,0.0,8,1750,2385,465000.0,0.0,0.0,3,2.5,2,0,3,8,98126
66211,0.0,18,2330,67268,440000.0,0.0,0.0,3,2.5,2,0,3,7,98024
155073,0.0,46,1560,50965,385000.0,0.0,0.0,3,1.75,1,0,4,7,98038
11725,0.0,72,1300,9514,210000.0,0.0,0.0,3,1.0,1,0,4,6,98056
14952,0.0,21,2030,10450,297000.0,0.0,0.0,3,2.5,2,0,3,8,98042
5000,0.0,63,1680,5000,470000.0,0.0,0.0,3,1.0,1,0,3,7,98107
7370,400.0,39,1430,7500,226500.0,0.0,0.0,3,1.5,1,0,4,7,98023
8450,0.0,53,1400,8040,274250.0,0.0,0.0,3,1.0,1,0,4,6,98059
11010,850.0,49,2770,10744,840000.0,0.0,0.0,4,1.75,1,0,4,9,98040
4587,0.0,5,2750,4587,677900.0,0.0,0.0,3,2.5,2,0,3,8,98052
5864,0.0,100,1290,5000,425000.0,0.0,0.0,3,1.0,1,0,3,7,98116
9600,0.0,74,1250,14280,180250.0,0.0,0.0,2,0.75,1,0,3,6,98166
3404,700.0,95,1560,1312,464000.0,1.0,1.0,6,3.0,2,0,3,7,98133
7579,0.0,22,1630,6397,320000.0,0.0,0.0,4,2.25,2,0,3,8,98038
1566,210.0,1,1160,1327,625504.0,0.0,0.0,3,2.25,2,0,3,8,98105
12032,0.0,32,2520,12368,592500.0,0.0,0.0,4,2.5,1,0,3,9,98074
17936,0.0,10,2590,18386,465000.0,0.0,0.0,3,2.5,2,0,3,9,98001
6270,0.0,37,2130,8700,477000.0,0.0,0.0,4,2.75,2,0,3,8,98118
16400,0.0,92,1100,14459,280000.0,0.0,0.0,2,1.0,1,0,3,6,98168
33474,1430.0,58,3836,20953,1510000.0,0.0,1.0,5,3.0,1,0,3,9,98040
5692,0.0,15,1320,5390,445838.0,0.0,0.0,3,2.5,2,0,3,8,98146
14864,1950.0,68,2580,5184,1070000.0,0.0,0.0,2,2.25,1,0,3,8,98144
10800,0.0,68,2120,12040,467000.0,0.0,0.0,2,1.5,1,0,4,8,98177
6440,0.0,16,3070,8127,686000.0,0.0,0.0,4,2.5,2,0,3,10,98075
9750,400.0,54,1900,10125,279950.0,0.0,0.0,3,2.0,1,0,3,7,98198
19436,0.0,28,1910,10055,527000.0,0.0,0.0,4,2.25,2,0,3,8,98011
16020,440.0,49,2080,9583,325000.0,0.0,0.0,3,2.25,1,0,4,8,98030
8379,0.0,21,2020,8031,328000.0,0.0,0.0,3,2.25,2,0,3,7,98038
7500,0.0,73,1280,7392,390000.0,0.0,0.0,3,2.25,1,0,5,7,98146
6516,0.0,10,1640,6009,479950.0,0.0,0.0,2,2.0,1,0,3,8,98053
9753,600.0,37,1510,9753,264950.0,0.0,0.0,4,2.25,1,0,4,7,98023
15246,450.0,54,1960,13068,235000.0,0.0,0.0,3,1.0,1,0,4,7,98031
4729,0.0,11,2250,4729,516500.0,0.0,0.0,3,2.5,2,0,3,7,98053
15798,220.0,100,2030,13193,655000.0,0.0,1.0,2,1.75,2,1,3,7,98166
15347,0.0,55,2280,15347,500000.0,0.0,0.0,4,2.75,1,0,5,7,98059
7350,1160.0,37,2120,8236,315000.0,1.0,0.0,6,2.75,1,0,3,8,98023
10200,0.0,54,1150,13702,213000.0,0.0,0.0,2,1.0,1,0,3,6,98024
5280,860.0,68,2090,4800,475000.0,0.0,0.0,3,1.5,1,0,5,7,98108
28040,0.0,32,3430,35096,1030000.0,0.0,0.0,5,4.0,2,0,3,10,98033
94300,580.0,39,2070,80100,416000.0,0.0,0.0,3,2.0,1,0,5,7,98010
4740,300.0,111,1510,4740,410000.0,0.0,1.0,4,1.0,1,0,3,7,98122
221284,300.0,22,2920,148539,800000.0,0.0,0.0,3,3.5,2,0,3,10,98077
14034,2060.0,50,2600,13988,472000.0,1.0,0.0,6,2.5,1,0,4,9,98003
8505,0.0,47,1190,8640,225000.0,0.0,0.0,3,1.75,1,0,4,7,98003
6000,0.0,75,830,4960,210000.0,0.0,0.0,2,1.0,1,0,3,6,98126
5000,0.0,90,1450,3750,455000.0,0.0,0.0,2,1.0,1,0,2,7,98115
8316,0.0,61,1260,8316,225000.0,0.0,0.0,3,1.0,1,0,4,6,98002
3060,240.0,97,1390,3060,480000.0,0.0,0.0,2,1.0,1,0,4,7,98103
11872,0.0,25,2570,10377,363000.0,0.0,0.0,3,2.5,2,0,3,9,98023
8354,1820.0,15,3120,18841,2400000.0,0.0,0.0,4,2.5,1,1,3,9,98074
5120,0.0,61,1150,2566,181000.0,0.0,0.0,2,1.5,1,0,3,6,98106
7312,0.0,39,2010,7650,250000.0,0.0,0.0,4,2.0,1,0,4,7,98002
3000,790.0,97,1390,3000,481000.0,0.0,0.0,3,1.75,1,0,4,6,98103
7209,570.0,37,1750,7209,260000.0,0.0,0.0,3,2.0,1,0,4,7,98032
7685,0.0,14,3060,6567,455000.0,0.0,0.0,4,2.5,2,0,3,9,98058
36224,0.0,24,1730,36224,415000.0,0.0,0.0,3,2.25,2,0,3,8,98045
3538,600.0,62,1620,6331,349500.0,0.0,0.0,3,1.0,1,0,3,7,98118
7442,0.0,28,1630,6458,245000.0,0.0,0.0,3,2.5,2,0,3,7,98030
9191,0.0,87,1420,6816,592500.0,0.0,0.0,2,2.0,1,0,5,7,98115
7620,1180.0,60,1910,7620,385000.0,0.0,0.0,4,1.75,1,0,4,7,98106
11455,380.0,41,1550,10650,315000.0,0.0,0.0,3,1.75,1,0,4,7,98059
10170,0.0,36,1380,10098,255000.0,0.0,0.0,3,1.0,1,0,3,7,98045
4425,0.0,9,2990,5659,693000.0,0.0,0.0,4,2.5,2,0,3,8,98052
4400,200.0,104,1660,4400,780000.0,0.0,0.0,3,1.0,1,0,3,8,98112
8470,0.0,55,1600,8470,237000.0,0.0,0.0,3,1.75,1,0,4,7,98198
40510,780.0,36,2380,33450,525000.0,0.0,0.0,3,2.25,2,0,3,10,98074
5040,0.0,85,1330,2580,425000.0,0.0,0.0,2,1.0,1,0,3,5,98144
10079,0.0,79,1230,14267,369900.0,0.0,0.0,1,0.75,1,1,5,5,98070
7280,0.0,27,1950,7475,290000.0,0.0,0.0,4,2.5,2,0,4,7,98031
10701,0.0,61,1130,6350,285000.0,0.0,0.0,3,1.0,1,0,3,7,98106
4500,0.0,78,1320,4465,415000.0,0.0,0.0,2,1.0,1,0,3,7,98115
9900,650.0,36,2070,8250,272500.0,0.0,0.0,3,2.5,1,0,3,8,98023
20100,300.0,33,3890,20060,2900000.0,0.0,0.0,4,3.25,1,0,3,11,98004
57346,0.0,26,4180,47443,1370000.0,0.0,0.0,4,4.75,2,0,4,11,98077
7538,0.0,76,1440,7530,436000.0,0.0,0.0,2,1.0,1,0,4,7,98133
11390,0.0,48,1350,8164,210000.0,0.0,0.0,3,1.0,1,0,4,7,98003
5898,0.0,54,1320,7619,236000.0,0.0,0.0,3,1.0,1,0,3,7,98178
1306,500.0,61,1440,2225,331000.0,0.0,1.0,3,1.75,1,0,3,7,98199
4510,0.0,9,2653,4927,365000.0,0.0,0.0,3,2.5,2,0,3,8,98031
16258,0.0,55,1660,10530,450000.0,0.0,0.0,3,2.0,1,0,5,8,98058
26300,970.0,1,1860,12136,770000.0,0.0,0.0,4,2.75,2,0,3,9,98028
49375,0.0,18,2670,49385,455000.0,0.0,0.0,4,2.5,1,0,3,8,98038
6000,1150.0,107,2020,6000,405000.0,0.0,0.0,3,1.75,1,0,3,6,98118
11325,990.0,46,1720,11088,304900.0,0.0,0.0,4,1.75,1,0,4,7,98031
5265,0.0,84,1650,8775,170000.0,0.0,0.0,2,1.0,1,0,3,6,98178
8480,1200.0,110,3050,7556,2050000.0,0.0,1.0,5,3.0,2,0,5,9,98122
7048,0.0,10,3920,7864,780000.0,0.0,0.0,4,2.5,2,0,3,9,98053
13959,680.0,27,2570,13300,330000.0,0.0,0.0,3,3.0,1,0,4,8,98028
8666,0.0,23,2410,8100,370000.0,0.0,0.0,4,2.5,2,0,3,9,98030
13500,650.0,36,2300,9750,467000.0,0.0,0.0,5,2.25,1,0,3,7,98072
6720,530.0,35,1670,7320,405000.0,0.0,0.0,3,1.75,1,0,3,7,98034
10300,1450.0,30,2310,10300,675000.0,0.0,0.0,5,2.25,1,0,3,8,98006
14100,500.0,61,1520,13527,500000.0,0.0,0.0,2,1.0,1,0,4,7,98006
15770,0.0,47,2410,15256,389999.0,0.0,0.0,4,2.5,2,0,4,7,98166
9025,1170.0,40,2120,9600,630000.0,0.0,0.0,4,1.75,1,0,4,8,98034
9528,0.0,23,2280,9937,360000.0,0.0,0.0,4,2.5,2,0,3,9,98001
11060,1010.0,29,2320,11004,580000.0,0.0,0.0,4,3.0,2,0,3,8,98056
4166,700.0,86,2390,4166,550000.0,0.0,0.0,3,2.0,2,0,5,8,98126
22111,0.0,21,3150,11374,879000.0,0.0,0.0,4,2.5,2,0,3,10,98075
8959,0.0,22,1740,7316,265000.0,0.0,0.0,3,2.0,1,0,3,7,98042
7286,0.0,25,2400,7220,446500.0,0.0,0.0,3,2.5,2,0,3,8,98059
8880,700.0,52,2140,5592,404000.0,0.0,0.0,3,1.5,1,0,3,7,98108
11914,500.0,58,1630,9052,267500.0,0.0,0.0,3,1.75,1,0,3,7,98188
18641,1950.0,13,4550,19508,3080000.0,0.0,0.0,4,5.0,1,1,3,10,98074
7632,0.0,17,2510,7903,335000.0,0.0,0.0,3,2.5,2,0,3,8,98003
9000,970.0,67,2190,7310,576000.0,0.0,0.0,3,2.5,1,0,4,7,98117
3810,0.0,9,2370,4590,208633.0,0.0,0.0,3,2.5,2,0,3,8,98038
8750,1080.0,51,1460,10139,315000.0,0.0,0.0,3,2.25,1,0,4,7,98166
3300,960.0,102,1740,4000,725000.0,0.0,0.0,3,1.75,1,0,4,8,98112
